movie_name,production_year,production_budget,domestic_box_office,international_box_office,Success_Failure_All,Success_Failure_Domestic,rating,creative_type,source,production_method,genre,sequel,running_time
The Secret Life of Pets,2015,75000000,368384330,507568429,1,1,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,91
The Transporter Refueled,2015,22000000,16029670,53668825,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,96
The Vatican Tapes,2015,13000000,1784763,13214875,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,91
The Walk,2015,35000000,10137502,51035862,0,0,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,124
The Young Messiah,2015,16800000,6469813,843884,0,0,PG-13,Dramatization,Based on Comic/Graphic Novel,Live Action,Drama,0,111
Trainwreck,2015,35000000,110038130,30911197,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,122
Triple 9,2015,20000000,12639297,13304495,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,115
Tulip Fever,2015,25000000,2425664,1426818,0,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,105
Vacation,2015,31000000,58884188,41771704,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,98
War Dogs,2015,50000000,43034523,40000000,0,0,R,Dramatization,Based on Factual Book/Article,Live Action,Comedy,0,114
Warcraft,2015,160000000,47225655,385900000,1,0,PG-13,Fantasy,Based on Game,Live Action,Action,0,123
When the Bough Breaks,2015,10000000,29747603,881904,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,107
Zoolander 2,2015,50000000,28848693,26500000,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,102
13 Hours: The Secret Soldiers of Benghazi,2016,50000000,52853219,16558151,0,0,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0,144
A Monster Calls,2016,43000000,3740823,42681243,0,0,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0,108
Alice Through the Looking Glass,2016,170000000,77042381,200400000,0,0,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,1,113
Alien: Covenant,2016,97000000,74262031,164600000,1,0,R,Science Fiction,Original Screenplay,Live Action,Horror,1,123
All Eyez on Me,2016,45000000,44922302,9954553,0,0,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,137
Almost Christmas,2016,17000000,42065185,428321,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,107
Annabelle: Creation,2016,15000000,102092201,203400000,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,109
