movie_name,Inflation_Success_Failure_Domestic,boxofficemojo_Success_Failure_Domestic,production_year,production_budget,production_budget_adjusted,domestic_box_office,inflation_domestic_adjusted,boxofficemojo_domestic_adjusted,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,popularity,production_companies,production_countries,vote_average,vote_count,actor1_name,actor1_gender,actor2_name,actor2_gender,actor3_name,actor3_gender,actor4_name,actor4_gender,actor5_name,actor5_gender,actor_number,director_name,director_gender,director_number,producer_name,producer_number,screeplay_name,editor_name
Casino Royale,0,0,2006,102000000,136979285,167365000,202344285,229200618,427055283,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,144,2.25103,Columbia Pictures Corporation,United Kingdom,5.3,135,David Niven,2,Peter Sellers,2,Ursula Andress,1,Orson Welles,2,Joanna Pettet,1,45,Val Guest,2,5,Jerry Bresler,3,Wolf Mankowitz,Bill Lenny
9,0,0,2009,30000000,33492488,31749894,35242382,37972873,16810105,PG-13,Fantasy,Original Screenplay,Digital Animation,Adventure,0,79,3.502584,Focus Films,United States of America,6.6,1202,Christopher Plummer,2,Martin Landau,2,John C. Reilly,2,Crispin Glover,2,Jennifer Connelly,1,10,Shane Acker,2,1,Timur Bekmambetov,7,Shane Acker,Nick Kenway
The Oxford Murders,0,0,2008,10000000,10000711,4803,5514,6578,17699328,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,108,2.289759,La Fabrique de Films,Spain,5.7,173,Elijah Wood,2,John Hurt,2,Leonor Watling,1,Julie Cox,1,Jim Carter,2,12,Ãlex de la Iglesia,0,1,Ãlvaro AugustÃ­n,5,Ãlex de la Iglesia,Cristina Pastor
A Perfect Getaway,0,0,2009,14000000,15706701,15515460,17222161,18556490,7300000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,97,1.704153,Davis Entertainment,United States of America,6.2,324,Milla Jovovich,1,Timothy Olyphant,2,Steve Zahn,2,Chris Hemsworth,2,Anthony Ruivivar,2,12,David Twohy,0,1,Mark Canton,6,David Twohy,Tracy Adams
Me and Orson Welles,0,0,2009,25000000,25130900,1190003,1320903,1423244,0,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,113,1.037026,Isle of Man Film,United States of America,6.6,47,Zac Efron,2,Claire Danes,1,Christian McKay,0,Imogen Poots,1,Zoe Kazan,1,14,Richard Linklater,2,1,Richard Linklater,3,Vincent Palmo Jr.,Sandra Adair
Slumdog Millionaire,1,1,2008,14000000,34915349,141319928,162235277,193532787,243199737,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,116,4.760039,Fox Searchlight Pictures,India,7.6,2565,Dev Patel,2,Freida Pinto,1,Anil Kapoor,2,Mia Drake Inderbitzin,0,Saurabh Shukla,2,15,Danny Boyle,2,2,Christian Colson,1,Simon Beaufoy,Chris Dickens
Miracle at St. Anna,0,0,2008,45000000,46171699,7916887,9088586,10841905,1759610,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,160,1.141757,Rai Cinema,Italy,6.3,84,Derek Luke,2,Michael Ealy,2,Laz Alonso,2,John Turturro,2,Valentina Cervi,1,25,Spike Lee,2,1,Roberto Cicutto,3,none,none
The House Bunny,0,1,2008,25000000,32139134,48237389,55376523,66059447,23153212,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,97,1.58612,Columbia Pictures,United States of America,5.5,485,Anna Faris,1,Emma Stone,1,Kat Dennings,1,Katharine McPhee,1,Rumer Willis,1,22,Fred Wolf,2,1,Adam Sandler,3,none,Debra Chiate
Sabotage,0,0,2014,35000000,35315256,10508518,10823774,11537504,7867925,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,110,1.290139,Gaumont British Picture Corporation,United Kingdom,6.7,55,Sylvia Sidney,1,Oskar Homolka,0,Desmond Tester,0,John Loder,2,Joyce Barbour,0,8,Alfred Hitchcock,2,1,none,0,Charles Bennett,Charles Frend
Appaloosa,0,0,2008,20000000,22991286,20211394,23202680,27678810,7700059,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Western,0,114,2.092794,New Line Cinema,United States of America,6.2,276,Viggo Mortensen,2,Ed Harris,2,RenÃ©e Zellweger,1,Jeremy Irons,0,Timothy Spall,2,14,Ed Harris,2,1,Ed Harris,3,Ed Harris,Kathryn Himoff
The Duchess,0,0,2008,27000000,29049649,13848978,15898627,18965700,31311132,PG-13,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,110,1.743741,BIM Distribuzione,United Kingdom,6.7,354,Keira Knightley,1,Ralph Fiennes,2,Aidan McArdle,2,Simon McBurney,0,Charlotte Rampling,1,13,Saul Dibb,2,1,Michael Kuhn,2,Anders Thomas Jensen,Masahiro Hirakubo
Ghost Town,0,0,2008,20000000,21961391,13252641,15214032,18149037,16590604,PG-13,Fantasy,Original Screenplay,Live Action,Romantic Comedy,0,102,2.53531,DreamWorks SKG,United States of America,6.4,264,Ricky Gervais,2,Greg Kinnear,2,TÃ©a Leoni,1,Billy Campbell,2,Jordan Carlos,0,24,David Koepp,2,1,Gavin Polone,2,John Kamps,Sam Seig
The Secret Life of Bees,1,1,2008,11000000,16589984,37770162,43360146,51724939,2213861,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,110,0.650238,Fox Searchlight Pictures,United States of America,7.3,144,Dakota Fanning,1,Queen Latifah,1,Jennifer Hudson,1,Sophie Okonedo,1,Alicia Keys,1,11,Gina Prince-Bythewood,1,1,Lauren Shuler Donner,4,Gina Prince-Bythewood,Terilyn A. Shropshire
Deception,0,0,2008,25000000,25680579,4598506,5279085,6297496,8251527,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,108,1.062136,Rifkin-Eberts,United States of America,5.7,180,Hugh Jackman,2,Ewan McGregor,2,Michelle Williams,1,Bruce Altman,2,Andrew Ginsburg,0,28,Marcel Langenegger,2,1,Hugh Jackman,9,none,Christian Wagner
Rogue,0,0,2008,23000000,23001547,10452,11999,14314,4662925,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,99,1.668452,Village Roadshow Pictures,Australia,6.2,133,Radha Mitchell,1,Michael Vartan,2,Sam Worthington,2,Mia Wasikowska,1,Caroline Brazier,1,12,Greg McLean,2,1,none,0,Greg McLean,none
Eagle Eye,0,0,2008,80000000,95013230,101440743,116453973,138919613,76625826,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,117,2.716956,DreamWorks SKG,United States of America,6.2,956,Shia LaBeouf,2,Michelle Monaghan,1,Rosario Dawson,1,Michael Chiklis,2,Anthony Mackie,2,19,D.J. Caruso,2,1,Patrick Crowley,3,none,Jim Page
Max Payne,0,0,2008,35000000,41021720,40687294,46709014,55719851,45074495,PG-13,Contemporary Fiction,Based on Game,Live Action,Action,0,103,2.460782,Dune Entertainment,United States of America,5.2,575,Mark Wahlberg,2,Mila Kunis,1,Beau Bridges,2,Ludacris,2,Chris O'Donnell,2,17,John Moore,2,1,Scott Faye,4,Beau Thorne,Dan Zimmerman
